,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Saint George,US,37.1,-113.58,71.6,17,1,14.99,clear sky
139,Lebu,CL,-37.62,-73.65,46.74,86,5,8.08,clear sky
140,Penzance,GB,50.12,-5.54,51.01,93,42,5.82,scattered clouds
141,Sao Joao Da Barra,BR,-21.64,-41.05,69.1,77,3,7.45,clear sky
142,Muros,ES,42.78,-9.06,54.0,95,34,1.01,scattered clouds
143,Marawi,PH,8.0,124.29,86.0,74,100,8.01,overcast clouds
144,Mahebourg,MU,-20.41,57.7,73.4,73,40,12.75,scattered clouds
145,Diu,IN,20.71,70.98,85.71,45,4,5.95,clear sky
146,Accra,GH,5.56,-0.2,78.8,88,40,8.05,scattered clouds
147,Sao Filipe,CV,14.9,-24.5,79.3,76,6,9.46,clear sky
148,Saint-Philippe,RE,-21.36,55.77,77.0,65,0,11.41,clear sky
149,Monrovia,LR,6.3,-10.8,77.72,87,42,4.9,moderate rain
150,Wamba,NG,8.93,8.6,72.14,77,100,3.13,overcast clouds
151,Praia,CV,14.92,-23.51,77.0,83,20,11.41,few clouds
152,Mecca,SA,21.43,39.83,81.37,15,0,12.06,clear sky
153,Ponta Delgada,PT,37.73,-25.67,60.8,67,75,5.82,broken clouds
154,Belmonte,BR,-15.86,-38.88,73.4,83,75,11.41,broken clouds
155,Hambantota,LK,6.12,81.12,86.0,74,20,11.41,few clouds
156,Bandundu,CD,-3.32,17.37,72.23,95,100,2.86,overcast clouds
157,Tekeli,KZ,44.83,78.82,37.35,78,100,5.35,overcast clouds
158,Crestview,US,30.76,-86.57,73.0,94,75,3.36,mist
159,Duvan,RU,55.7,57.9,22.1,95,4,5.14,clear sky
160,Ribeira Grande,PT,38.52,-28.7,64.54,70,11,5.93,few clouds
161,Hualmay,PE,-11.1,-77.61,62.67,85,29,8.41,scattered clouds
162,Xique-Xique,BR,-10.82,-42.73,79.2,55,4,18.37,clear sky
163,Chuy,UY,-33.7,-53.46,60.64,91,100,9.28,heavy intensity rain
164,Aden,YE,12.78,45.04,84.56,62,29,7.31,scattered clouds
165,Eirunepe,BR,-6.66,-69.87,71.37,98,100,0.78,overcast clouds
166,Malangali,TZ,-8.57,34.85,63.05,71,28,7.83,scattered clouds
167,Qasigiannguit,GL,68.82,-51.19,21.2,73,76,3.36,broken clouds
168,Schwalmstadt,DE,50.93,9.22,57.2,87,75,2.24,broken clouds
169,Marrakesh,MA,31.63,-8.01,60.8,82,75,3.36,broken clouds
170,Kapuskasing,CA,49.42,-82.43,32.0,98,90,2.24,overcast clouds
171,Agadez,NE,19.75,10.25,70.05,25,0,7.76,clear sky
172,Maun,BW,-19.98,23.42,73.4,53,0,13.87,clear sky
173,Kholm,RU,59.27,32.85,50.05,85,100,12.24,overcast clouds
174,Voznesenskaya,RU,44.55,41.03,48.22,54,21,6.62,light rain
175,Kalisz,PL,51.76,18.09,53.01,85,99,3.0,overcast clouds
176,Arlit,NE,18.74,7.39,81.18,18,0,11.25,clear sky
177,Caluquembe,AO,-13.78,14.68,62.15,72,20,2.08,few clouds
178,Iqaluit,CA,63.75,-68.51,28.4,86,90,2.24,light snow
179,Mpika,ZM,-11.83,31.45,67.59,58,67,11.41,broken clouds
180,Hobyo,SO,5.35,48.53,81.36,79,100,6.46,light rain
181,Maldonado,UY,-34.67,-54.92,60.01,100,90,11.41,mist
182,Jacareacanga,BR,-6.22,-57.75,75.87,90,96,1.25,overcast clouds
183,Rocha,UY,-34.48,-54.33,59.27,93,100,8.39,moderate rain
184,Koslan,RU,63.46,48.9,18.54,97,45,6.44,scattered clouds
185,Atasu,KZ,48.68,71.64,33.62,78,56,8.72,broken clouds
186,Ratnagiri,IN,16.98,73.3,82.45,76,88,3.91,overcast clouds
187,Bosaso,SO,11.28,49.18,82.67,53,92,2.37,overcast clouds
188,Wagar,SD,16.15,36.2,78.66,53,0,5.64,clear sky
189,Andros Town,BS,24.7,-77.77,80.6,69,20,10.29,few clouds
190,Karagaylinskiy,RU,54.17,86.55,39.45,75,100,13.27,overcast clouds
191,Nacala,MZ,-14.54,40.67,75.29,77,41,9.1,scattered clouds
192,Vagur,FO,61.47,-6.81,46.47,83,100,33.96,light rain
193,Sisimiut,GL,66.94,-53.67,23.79,89,4,7.78,clear sky
194,Itarema,BR,-2.92,-39.92,79.07,78,83,14.12,broken clouds
195,Touros,BR,-5.2,-35.46,75.2,94,40,4.7,scattered clouds
196,Santarem,BR,-2.44,-54.71,80.6,78,0,4.7,clear sky
197,Qom,IR,34.64,50.88,59.58,33,0,1.59,clear sky
198,Saint-Georges,GD,12.06,-61.75,84.2,74,40,17.22,scattered clouds
199,Chapais,CA,49.78,-74.85,30.2,92,90,4.7,overcast clouds
200,Novyy Urengoy,RU,66.08,76.63,13.78,96,99,8.21,overcast clouds
201,Aduturai,IN,11.01,79.48,84.61,64,100,8.63,overcast clouds
202,Jonava,LT,55.08,24.28,53.6,81,0,8.05,clear sky
203,Krasnyye Chetai,RU,55.69,46.14,37.09,96,100,14.7,overcast clouds
204,Ascope,PE,-7.71,-79.11,67.17,70,40,2.39,scattered clouds
205,Camabatela,AO,-8.19,15.38,64.42,100,100,3.38,overcast clouds
206,Grand Gaube,MU,-20.01,57.66,77.0,66,32,5.99,scattered clouds
207,Iznoski,RU,54.99,35.31,51.55,85,81,11.86,broken clouds
208,Dingle,PH,11.0,122.67,86.16,76,62,9.37,broken clouds
209,Balashov,RU,51.55,43.17,44.65,83,78,11.72,broken clouds
210,Bridlington,GB,54.08,-0.19,42.01,93,0,3.36,clear sky
211,Axim,GH,4.87,-2.24,77.77,87,69,6.51,light rain
212,Gazojak,TM,41.19,61.4,48.13,49,0,0.96,clear sky
213,Bulnes,CL,-36.74,-72.3,53.6,71,15,3.36,few clouds
214,Los Llanos De Aridane,ES,28.66,-17.92,66.2,63,0,8.05,clear sky
215,Carnarvon,AU,-24.87,113.63,77.0,61,0,14.99,clear sky
216,Bumba,CD,2.18,22.47,70.65,97,100,1.66,light rain
217,Galle,LK,6.04,80.22,82.17,79,72,12.39,light rain
218,Grand-Santi,GF,4.25,-54.38,73.8,92,13,3.8,few clouds
219,Deer Lake,CA,49.17,-57.43,41.0,75,90,4.7,overcast clouds
220,Salalah,OM,17.02,54.09,73.4,49,0,2.24,clear sky
221,Callaway,US,30.15,-85.57,75.99,83,1,5.82,clear sky
222,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.75,86,76,8.63,broken clouds
223,Odweyne,SO,9.41,45.06,76.01,32,65,2.48,broken clouds
224,Kuytun,RU,54.34,101.5,39.83,72,64,3.53,broken clouds
225,Maputo,MZ,-25.97,32.59,72.0,83,75,4.7,broken clouds
226,Lagos,NG,6.58,3.75,76.64,93,84,3.4,broken clouds
227,Plettenberg Bay,ZA,-34.05,23.37,67.95,60,99,2.73,overcast clouds
228,Paranaiba,BR,-19.68,-51.19,75.16,79,2,5.23,clear sky
229,Inhuma,BR,-6.67,-41.71,80.98,50,32,10.16,scattered clouds
230,San Luis,AR,-33.3,-66.34,62.29,81,16,4.97,few clouds
231,Kuminskiy,RU,58.67,66.57,21.97,94,100,8.68,overcast clouds
232,Coari,BR,-4.08,-63.14,74.86,95,100,2.77,overcast clouds
233,Walvis Bay,NA,-22.96,14.51,60.01,77,90,1.12,overcast clouds
234,Vuktyl,RU,63.86,57.31,19.27,98,93,4.16,overcast clouds
235,Horodyshche,UA,49.28,31.45,51.67,70,96,3.89,overcast clouds
236,Tiznit,MA,29.58,-9.5,59.52,84,100,1.88,overcast clouds
237,Tromso,NO,69.65,18.96,28.4,92,75,9.17,broken clouds
238,Saint-Francois,FR,46.42,3.91,59.0,82,100,5.82,overcast clouds
239,Lesnoy,RU,57.62,63.08,24.3,93,61,8.52,broken clouds
240,Imbituba,BR,-28.24,-48.67,69.8,88,90,9.17,overcast clouds
241,Nioro,GM,13.35,-15.75,76.93,72,0,4.92,clear sky
242,Lincoln,US,40.8,-96.67,37.4,86,90,21.92,overcast clouds
243,Chinna Salem,IN,11.65,78.9,83.97,67,100,4.47,light rain
244,Gualeguay,AR,-33.14,-59.31,63.75,97,97,8.66,overcast clouds
245,Verkhnyaya Maksakovka,RU,61.63,50.97,12.2,92,0,4.47,clear sky
246,Chimoio,MZ,-19.12,33.48,66.2,100,75,4.7,broken clouds
247,Rio Gallegos,AR,-51.62,-69.22,48.2,70,0,4.7,clear sky
248,Najran,SA,17.49,44.13,60.8,23,0,4.7,clear sky
249,Tsabong,BW,-26.02,22.4,75.31,31,1,13.91,clear sky
250,Akhtanizovskaya,RU,45.32,37.1,50.0,87,40,4.47,scattered clouds
251,Dawlatabad,AF,36.41,64.91,52.61,43,5,2.01,clear sky
252,Tacoronte,ES,28.48,-16.41,62.01,87,90,5.82,overcast clouds
253,Maceio,BR,-9.67,-35.74,73.4,94,20,2.24,few clouds
254,Carutapera,BR,-1.2,-46.02,77.36,91,31,6.96,scattered clouds
255,Cap-Aux-Meules,CA,47.38,-61.86,45.19,69,74,19.24,broken clouds
256,Maniitsoq,GL,65.42,-52.9,25.25,83,2,4.63,clear sky
257,Nalut,LY,30.33,10.85,63.91,49,0,13.4,clear sky
258,Roald,NO,62.58,6.13,37.4,66,0,16.11,clear sky
259,Sergeyevka,KZ,53.88,67.42,27.79,96,99,10.87,light snow
260,Ibirapitanga,BR,-14.16,-39.37,69.8,96,41,0.45,scattered clouds
261,Awjilah,LY,29.11,21.29,59.65,71,0,8.32,clear sky
262,Thunder Bay,CA,48.4,-89.32,35.01,86,90,5.82,overcast clouds
263,Vila Franca Do Campo,PT,37.72,-25.43,60.8,67,75,5.82,broken clouds
