City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Boa Vista,BR,2020-10-22 01:58:43,2.82,-60.67,86.0,51,26,9.17
132,Cabedelo,BR,2020-10-22 02:04:24,-6.98,-34.83,77.0,94,75,5.82
133,Tigzirt,DZ,2020-10-22 02:04:24,36.89,4.12,69.6,45,100,10.71
134,Krasnoselkup,RU,2020-10-22 01:59:25,65.7,82.47,18.52,98,87,5.35
135,Saint Anthony,US,2020-10-22 01:58:52,45.02,-93.22,35.01,74,90,0.45
136,Plettenberg Bay,ZA,2020-10-22 01:59:35,-34.05,23.37,60.76,59,0,2.46
137,Mahajanga,MG,2020-10-22 01:59:57,-15.72,46.32,75.2,47,20,8.05
138,Dimbokro,CI,2020-10-22 02:04:25,6.65,-4.7,72.81,98,28,3.38
139,Epe,NG,2020-10-22 02:04:25,6.58,3.98,76.35,94,2,2.57
140,Praia,CV,2020-10-22 01:59:02,14.92,-23.51,80.6,74,20,17.22
141,Trairi,BR,2020-10-22 02:03:01,-3.28,-39.27,79.75,80,67,10.27
142,Fundao,BR,2020-10-22 02:04:26,-19.93,-40.4,75.2,94,90,2.24
143,Mahebourg,MU,2020-10-22 02:04:26,-20.41,57.7,73.4,78,40,10.29
144,Conceicao Do Araguaia,BR,2020-10-22 01:58:40,-8.26,-49.26,83.37,52,0,3.38
145,Dolores,AR,2020-10-22 02:04:27,-36.31,-57.68,55.18,67,99,11.18
146,Porlamar,VE,2020-10-22 02:02:40,10.96,-63.85,91.4,63,0,17.22
147,Wilmington,US,2020-10-22 02:04:27,34.23,-77.94,73.0,88,1,3.36
148,San Cristobal,VE,2020-10-22 01:59:03,7.77,-72.22,66.36,88,51,2.51
149,Beloha,MG,2020-10-22 02:04:28,-25.17,45.05,67.14,83,0,10.67
150,Esil,KZ,2020-10-22 02:00:10,51.96,66.4,36.39,79,99,9.55
151,Mastic Beach,US,2020-10-22 02:04:28,40.77,-72.85,64.4,93,90,4.7
152,Stephenville,US,2020-10-22 02:04:28,32.22,-98.2,75.2,64,1,9.17
153,Pindobacu,BR,2020-10-22 02:00:59,-10.74,-40.36,72.9,69,0,7.4
154,Tangier,MA,2020-10-22 01:59:39,35.78,-5.81,68.0,68,40,4.7
155,Agadez,NE,2020-10-22 01:59:16,19.75,10.25,73.29,19,0,4.56
156,Lamu,KE,2020-10-22 02:04:26,-2.27,40.9,80.6,83,40,6.93
157,Constitucion,CL,2020-10-22 02:00:24,-35.33,-72.42,49.24,83,0,8.66
158,Vestmanna,FO,2020-10-22 01:59:37,62.16,-7.17,33.8,86,32,2.24
159,Laurel,US,2020-10-22 02:00:00,39.1,-76.85,66.99,93,1,4.0
160,Teya,RU,2020-10-22 02:04:30,60.38,92.63,36.81,89,100,4.72
161,Sisimiut,GL,2020-10-22 02:04:31,66.94,-53.67,28.89,94,92,5.08
162,Massaguet,TD,2020-10-22 02:04:31,12.48,15.44,73.4,56,40,2.24
163,Karachi,PK,2020-10-22 02:03:21,24.91,67.08,64.4,77,8,6.93
164,Avrille,FR,2020-10-22 02:04:31,47.5,-0.58,55.0,93,0,2.24
165,Banda Aceh,ID,2020-10-22 02:04:31,5.56,95.32,85.26,62,100,8.41
166,Muskegon,US,2020-10-22 02:00:35,43.3,-86.13,50.0,71,75,5.82
167,Viedma,AR,2020-10-22 01:59:15,-40.81,-63.0,55.0,68,97,1.99
168,Sur,OM,2020-10-22 01:59:22,22.57,59.53,73.89,67,3,8.16
169,Le Port,RE,2020-10-22 01:58:55,-20.94,55.29,73.4,69,81,14.99
170,Tucurui,BR,2020-10-22 02:04:32,-3.77,-49.67,77.99,80,64,3.76
171,Port-De-Bouc,FR,2020-10-22 02:04:33,43.4,4.98,68.0,63,90,12.75
172,Taraz,KZ,2020-10-22 02:04:33,42.9,71.37,46.4,52,100,11.18
173,Grindavik,IS,2020-10-22 01:59:13,63.84,-22.43,41.0,93,90,24.16
174,Klaksvik,FO,2020-10-22 01:58:21,62.23,-6.59,33.8,86,83,2.24
175,Boende,CD,2020-10-22 02:04:33,-0.22,20.87,71.13,97,98,2.46
176,Adrar,MR,2020-10-22 01:58:54,20.5,-10.07,83.25,19,3,4.85
177,Pimentel,PE,2020-10-22 01:58:39,-6.84,-79.93,62.37,87,1,13.51
178,Jumla,NP,2020-10-22 01:58:35,29.27,82.18,52.68,44,0,2.68
179,Boda,CF,2020-10-22 02:04:34,4.32,17.47,68.61,96,96,1.32
180,Mantua,IT,2020-10-22 02:04:35,45.17,10.78,50.0,100,52,2.24
181,Sokoto,NG,2020-10-22 01:59:15,13.06,5.24,77.85,29,0,1.79
182,Hamilton,US,2020-10-22 01:54:04,39.18,-84.53,64.0,93,90,2.89
183,Bainbridge,US,2020-10-22 02:04:35,47.63,-122.52,48.99,92,0,3.87
184,Shache,CN,2020-10-22 01:59:11,38.42,77.24,46.89,43,0,3.24
185,Saint-Francois,FR,2020-10-22 02:04:36,46.42,3.91,63.0,67,95,4.7
